2026-05-04 19:35:45,427 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-04 19:35:50,987 | INFO     | webhook_server | Paystack webhook server running on port 8080
2026-05-04 19:35:51,100 | INFO     | logger_setup | CryptoTradeBot is starting...
2026-05-04 19:35:54,756 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getMe "HTTP/1.1 200 OK"
2026-05-04 19:35:55,223 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/deleteWebhook "HTTP/1.1 200 OK"
2026-05-04 19:35:55,238 | INFO     | apscheduler.scheduler | Added job "start_scheduler" to job store "default"
2026-05-04 19:35:55,239 | INFO     | apscheduler.scheduler | Scheduler started
2026-05-04 19:35:55,241 | INFO     | telegram.ext.Application | Application started
2026-05-04 19:35:55,429 | INFO     | apscheduler.executors.default | Running job "start_scheduler (trigger: interval[0:01:00], next run at: 2026-05-04 19:36:55 UTC)" (scheduled at 2026-05-04 19:35:55.420289+00:00)
2026-05-04 19:35:55,452 | INFO     | apscheduler.executors.default | Job "start_scheduler (trigger: interval[0:01:00], next run at: 2026-05-04 19:36:55 UTC)" executed successfully
2026-05-04 19:36:06,053 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:36:16,334 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:36:26,669 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:36:36,930 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:36:47,154 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:36:55,428 | INFO     | apscheduler.executors.default | Running job "start_scheduler (trigger: interval[0:01:00], next run at: 2026-05-04 19:37:55 UTC)" (scheduled at 2026-05-04 19:36:55.420289+00:00)
2026-05-04 19:36:55,434 | INFO     | apscheduler.executors.default | Job "start_scheduler (trigger: interval[0:01:00], next run at: 2026-05-04 19:37:55 UTC)" executed successfully
2026-05-04 19:36:57,504 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:37:07,791 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
2026-05-04 19:37:18,165 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot8591855929:AAHp9sK0df8jX9-iC87CnJkZizZCSAexj00/getUpdates "HTTP/1.1 200 OK"
